So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000114,7.2,5.25,2.4,6.75,6.0,4.25,5.67,-1.0,-1.0,-1.0,-1.0,6
3000115,2.4,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.75,5.25,-1.0,-1.0,4
3000116,7.0,7.25,3.2,5.5,6.25,4.0,5.25,-1.0,-1.0,-1.0,-1.0,6
3000117,7.8,5.75,3.6,3.0,6.0,5.0,4.67,-1.0,-1.0,-1.0,-1.0,6
3000118,3.8,3.75,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,4.75,-1.0,-1.0,4
3000119,6.4,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.75,7.0,-1.0,-1.0,4
3000120,5.4,5.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,5.75,-1.0,-1.0,4
3000121,5.4,4.75,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,5.75,-1.0,-1.0,4
3000122,6.0,6.0,3.8,4.75,4.5,4.5,4.58,-1.0,-1.0,-1.0,-1.0,6
3000123,7.6,6.5,9.0,7.5,6.75,4.5,6.25,-1.0,-1.0,-1.0,-1.0,6
3000124,7.8,6.0,6.4,7.75,8.25,4.0,6.67,-1.0,-1.0,-1.0,-1.0,6
3000125,3.0,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,4.5,-1.0,-1.0,4
3000126,7.8,5.75,3.0,5.0,5.25,5.0,5.08,-1.0,-1.0,-1.0,-1.0,6
3000127,6.0,6.5,6.8,-1.0,-1.0,-1.0,-1.0,4.5,6.75,8.75,6.67,6
3000128,4.4,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.25,5.0,-1.0,-1.0,4
3000129,8.2,4.75,8.0,6.25,7.5,5.5,6.42,-1.0,-1.0,-1.0,-1.0,6
3000130,6.8,5.75,3.4,5.0,4.5,2.5,4.0,-1.0,-1.0,-1.0,-1.0,6
3000131,7.4,5.25,4.8,6.0,5.75,4.5,5.42,-1.0,-1.0,-1.0,-1.0,6
3000132,6.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.5,-1.0,-1.0,4
3000133,6.6,5.25,3.0,4.25,6.75,3.75,4.92,-1.0,-1.0,-1.0,-1.0,6
3000134,8.4,4.0,4.2,7.75,6.0,4.0,5.92,-1.0,-1.0,-1.0,-1.0,6
3000135,7.8,7.0,6.2,-1.0,-1.0,-1.0,-1.0,5.75,5.75,8.25,6.58,6
3000136,7.0,7.5,7.0,-1.0,-1.0,-1.0,-1.0,3.5,7.25,8.5,6.42,6
3000137,6.6,6.5,5.4,-1.0,-1.0,-1.0,-1.0,4.25,6.75,8.0,6.33,6
3000138,8.0,6.5,4.4,6.25,3.5,5.75,5.17,-1.0,-1.0,-1.0,-1.0,6
3000139,7.2,6.5,5.2,6.5,5.75,3.0,5.08,-1.0,-1.0,-1.0,-1.0,6
3000140,4.8,5.75,3.2,-1.0,-1.0,-1.0,-1.0,3.75,6.25,7.0,5.67,6
3000141,7.2,5.75,5.4,-1.0,-1.0,-1.0,-1.0,5.75,5.25,6.75,5.92,6
3000142,9.0,7.5,8.8,8.0,4.5,5.5,6.0,-1.0,-1.0,-1.0,-1.0,6
3000143,7.0,7.25,4.4,-1.0,-1.0,-1.0,-1.0,2.75,6.0,8.25,5.67,6
3000144,8.2,6.0,4.6,7.0,6.25,3.5,5.58,-1.0,-1.0,-1.0,-1.0,6
3000145,2.8,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,4.0,-1.0,-1.0,4
3000146,7.2,7.0,6.2,-1.0,-1.0,-1.0,-1.0,3.75,7.25,9.0,6.67,6
3000147,8.0,7.75,7.0,7.25,4.25,3.75,5.08,-1.0,-1.0,-1.0,-1.0,6
